School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
"University of Alabama, Tuscaloosa",41300.0,81400.0,40100.0,56500.0,117000.0,161000.0
University of Texas at Arlington (UTA),45400.0,80800.0,46400.0,61200.0,106000.0,138000.0
Oklahoma State University,42800.0,80700.0,40100.0,56500.0,114000.0,151000.0
Tennessee Technological University,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0
University of Houston (UH),46000.0,79900.0,42000.0,56200.0,106000.0,141000.0
University of Mississippi,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0
Lamar University,46500.0,79400.0,38700.0,51600.0,114000.0,158000.0
Mississippi State University (MSU),44500.0,79300.0,43300.0,58800.0,108000.0,151000.0
University of Kentucky (UK),42800.0,78300.0,43000.0,57300.0,107000.0,149000.0
Texas Christian University (TCU),45100.0,78100.0,42600.0,56600.0,122000.0,183000.0
West Virginia University (WVU),43100.0,78100.0,39700.0,55700.0,106000.0,141000.0
University of Maryland Baltimore County (UMBC),47000.0,77800.0,46900.0,59100.0,105000.0,130000.0
University of Louisiana (UL) at Lafayette,41100.0,76300.0,42000.0,54500.0,107000.0,163000.0
Florida International University (FIU),43200.0,75500.0,40500.0,55800.0,98200.0,136000.0
University of Tennessee,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0
University of Arkansas - Monticello (UAM),39200.0,74500.0,,46100.0,110000.0,
University of North Carolina at Charlotte (UNCC),43100.0,74000.0,38200.0,53200.0,99500.0,133000.0
Georgia State University,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0
LeTourneau University,49500.0,73800.0,41200.0,52700.0,95200.0,126000.0
Florida State University (FSU),42100.0,73000.0,39600.0,52800.0,107000.0,156000.0
University of Texas at El Paso (UTEP),43400.0,72100.0,37700.0,50400.0,99500.0,133000.0
University of Central Florida (UCF),42600.0,71700.0,39500.0,51500.0,98400.0,125000.0
University of South Carolina,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0
